Song Name,Artist,Genre
Little Red Rooster,Sam Cooke,"classic soul,soul,vocal jazz"
Wild Heart,The Vamps,"boy band,pop"
Wish You Were Sober,Conan Gray,"bedroom pop,pop,pov: indie"
"Baby, I Love Your Way","Big Mountain, Tom Lord-Alge","reggae,reggae fusion"
The Way You Look Tonight - Remastered,The Lettermen,"adult standards,easy listening,vocal harmony group"
Starships,Nicki Minaj,"hip pop,pop,queens hip hop,rap"
Stuck On You,Paul Norton,
Love Me Harder,"Scott Bradlee's Postmodern Jukebox, Cristina Gatti","jazz cover,swing"
Make Me Smile (Come up and See Me) - 2014 Remaster,"Steve Harley, Steve Harley & Cockney Rebel","classic uk pop,glam rock,glam rock"
Just A Little Bit,Kids Of 88,
Home,Teddy Cream,melbourne bounce
There Must Be an Angel (Playing with My Heart),"Eurythmics, Annie Lennox, Dave Stewart","dance rock,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop,new romantic,new wave,new wave pop,singer-songwriter,soft rock,synthpop,new wave pop,rock keyboard"
Kokomo,The Beach Boys,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop"
Pride and Joy,Normie Rowe,"australian rock,cabaret"
Keep on Loving You,REO Speedwagon,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,rock,soft rock"
Sax,Fleur East,"talent show,uk pop"
Bang Bang,"Rita Ora, Imanbek","dance pop,pop,uk pop,electro house,pop dance,slap house"
Music Won't Break Your Heart,Stan Walker,"australian talent show,nz christian,nz pop"
Pleasure And Pain,Divinyls,"australian rock,new wave pop"
See You at the Show,Nickelback,"alternative metal,canadian rock,post-grunge"
I Wanna Be Around,Michael Bublé,"adult standards,canadian pop,jazz pop,lounge"
Roses,"The Chainsmokers, ROZES","electropop,pop,alt z,indie poptimism"
I Wanna Love You Forever,Jessica Simpson,"dance pop,post-teen pop"
Love The Fall,Michael Paynter,
Roxanne - Remastered 2003,The Police,"album rock,classic rock,permanent wave,rock"
When You Walk In the Room - Mono Version,The Searchers,"british invasion,rock-and-roll"
Paralyzer,Finger Eleven,"alternative metal,canadian rock,funk metal,nu metal,post-grunge"
Ferrari,"James Hype, Miggy Dela Rosa","deep groove house,pop dance,uk dance,dance pop,pop dance"
Route 66,The Rolling Stones,"album rock,british invasion,classic rock,rock"
Over the Rainbow,Israel Kamakawiwo'ole,"hawaiian,ukulele"
"Baby Did a Bad, Bad Thing",Chris Isaak,mellow gold
Da Ya Think I'm Sexy?,Rod Stewart,"mellow gold,soft rock"
River (feat. Ed Sheeran),"Eminem, Ed Sheeran","detroit hip hop,hip hop,rap,pop,singer-songwriter pop,uk pop"
Mood (feat. iann dior),"24kGoldn, iann dior","cali rap,melodic rap"
The Car Song,The Cat Empire,"australian reggae fusion,australian ska,ska jazz"
bury a friend,Billie Eilish,"art pop,electropop,pop"
Rubber Bullets,10cc,"album rock,art rock,classic rock,glam rock,mellow gold,new romantic,soft rock,yacht rock"
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,"album rock,blues rock,classic rock,electric blues,mellow gold,rock,singer-songwriter,soft rock"
Dead Skunk,Loudon Wainwright III,"folk,singer-songwriter"
Sunlight,Bag Raiders,"alternative dance,australian dance,indietronica"
L.O.V.E.,Ashlee Simpson,"dance pop,post-teen pop"
Damn I Wish I Was Your Lover,Sophie B. Hawkins,"lilith,new wave pop"
Hurricane,Parachute,"acoustic pop,charlottesville indie,neo mellow,neon pop punk,pop rock,viral pop"
Resolution,Matt Corby,australian indie
Shape of You,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Don't Wait Up,Shakira,"colombian pop,dance pop,latin pop,pop"
Missing You,John Waite,"album rock,heartland rock,mellow gold,new romantic,new wave,new wave pop,soft rock"
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell","classic soul,motown,neo soul,northern soul,quiet storm,soul,classic soul,motown,soul,southern soul"
The Happening,The Supremes,"classic girl group,disco,motown,soul"
Kyrie,Mr. Mister,"album rock,new romantic,new wave pop,soft rock,synthpop"
Gangnam Style (강남스타일),PSY,"k-rap,korean old school hip hop"
Your Mama Won't Like Me - 2017 Remaster,Suzi Quatro,glam rock
Sweet Melody,Little Mix,"girl group,pop,talent show,uk pop"
This Ole House,Shakin' Stevens,"classic uk pop,rockabilly"
Anything,Culture Beat,"eurodance,europop,german techno,hip house"
Take You Dancing,Jason Derulo,"dance pop,pop"
Colour My World,Petula Clark,"adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly"
What You Get Is What You See,Tina Turner,soft rock
Space Oddity - 2009 Remastered Version,David Bowie,"art rock,classic rock,glam rock,permanent wave,rock"
And I'm Telling You I'm Not Going,Dami Im,"australian pop,australian talent show,talent show"
From The Sea,Eskimo Joe,"australian alternative rock,australian rock,perth indie"
Wicked Game,Chris Isaak,mellow gold
Listen to the Man,George Ezra,"folk-pop,neo-singer-songwriter"
Welcome to the Black Parade,My Chemical Romance,"emo,modern rock,pop punk,pov: indie,rock"
Don't Let Go (Love),En Vogue,"contemporary r&b,girl group,hip pop,new jack swing,r&b,urban contemporary"
It Must Be Him,Vikki Carr,
Memphis T-Shirt,Melanie Dyer,australian country
Day Drunk,Morgan Evans,"australian country,contemporary country,country road,modern country rock"
Genie in a Bottle,Christina Aguilera,"dance pop,pop"
Right Round,Flo Rida,"dance pop,miami hip hop,pop,pop rap"
La Grange - 2005 Remaster,ZZ Top,"album rock,blues rock,classic rock,hard rock,rock"
Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson","pop,uk dance,uk funky,pop,scandipop,swedish electropop,swedish pop"
Gimme Little Sign,Brenton Wood,souldies
No Sleep,Wiz Khalifa,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap"
Closer,Ne-Yo,"dance pop,pop,r&b,urban contemporary"
Reelin' and Rockin' - 2019 - Remaster,The Dave Clark Five,"british invasion,merseybeat"
Cherry Bomb,John Mellencamp,"album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
Only When You Leave,Spandau Ballet,"new romantic,new wave,new wave pop,sophisti-pop,synthpop"
Finesse - Remix; feat. Cardi B,"Bruno Mars, Cardi B","dance pop,pop,pop,rap"
Boogie Wonderland,"Earth\, Wind & Fire, The Emotions","disco,funk,jazz funk,soul,chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul"
All Right Now,Free,"album rock,blues rock,british blues,classic rock,country rock,hard rock,progressive rock"
Grenade,Bruno Mars,"dance pop,pop"
Say So,Doja Cat,"dance pop,pop"
Coco Jamboo - Radio Version,Mr. President,"eurodance,europop,german techno"
Black & Gold - Radio Edit,Sam Sparro,"australian dance,funktronica"
Lemonade,"Internet Money, Gunna, Don Toliver, NAV","pop rap,atl hip hop,melodic rap,rap,trap,rap,trap,canadian hip hop,canadian trap,melodic rap,rap,toronto rap,trap"
Mine,Bazzi,pop
Sunday Morning Coming Down - Live,Johnny Cash,"arkansas country,outlaw country,rock"
Stay Wild,Little Birdy,"australian alternative rock,australian indie,australian rock,perth indie"
Blood on the Dance Floor,Michael Jackson,"r&b,soul"
48 Crash,Suzi Quatro,glam rock
You Are Not Alone,Michael Jackson,"r&b,soul"
Teardrops,Womack & Womack,disco
Already Gone,Kelly Clarkson,"dance pop,pop,talent show"
Thought I'd Died And Gone To Heaven,Bryan Adams,"canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock"
Maria,Blondie,"candy pop,new wave pop,permanent wave,power pop,rock,synthpop"
Want U Back,Cher Lloyd,"dance pop,pop,post-teen pop,talent show"
Sk8er Boi,Avril Lavigne,"canadian pop,candy pop,pop"
By the Way,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave,rock"
Neutron Dance,The Pointer Sisters,"disco,girl group,hi-nrg,motown,new wave pop,soft rock"
#SELFIE,The Chainsmokers,"electropop,pop"
Forever,"N-Trance, Kenny Hayes","eurodance,hip house"
Differently,Cassie Davis,australian pop
(You're) Having My Baby,"Paul Anka, Odia Coates","adult standards,canadian pop,easy listening,rock-and-roll"
Addicted To You,Avicii,"edm,pop,pop dance"
Magic Carpet Ride,Steppenwolf,"acid rock,album rock,blues rock,british blues,classic canadian rock,classic rock,hard rock,proto-metal,rock,singer-songwriter,soft rock"
La Bamba,Los Lobos,roots rock
aNYway,Duck Sauce,disco house
Easy,Troye Sivan,"australian pop,pop,viral pop"
We Didn't Start the Fire,Billy Joel,"album rock,classic rock,heartland rock,mellow gold,piano rock,rock,singer-songwriter,soft rock"
Touch The Fire,ICEHOUSE,"australian rock,new romantic,sophisti-pop,synthpop"
Rock the Casbah - Remastered,The Clash,"alternative rock,permanent wave,punk,rock"
Town Without Pity,Gene Pitney,"adult standards,brill building pop,merseybeat,rock-and-roll,rockabilly"
Left Hand Free,alt-J,"indie rock,indietronica,modern alternative rock,modern rock,rock"
When Your Love Is Gone,Jimmy Barnes,australian rock
Golden Years - M-Phazes Remix,"Ruel, M-Phazes","alt z,australian alternative pop,pop,australian underground hip hop"
Controlla,Drake,"canadian hip hop,canadian pop,hip hop,rap,toronto rap"
Love And Other Bruises,Air Supply,soft rock
Hot,Avril Lavigne,"canadian pop,candy pop,pop"
Break in the Weather,Jenny Morris,"australian pop,classic nz pop"
Without You,Johnny Tillotson,"doo-wop,merseybeat,nashville sound,rock-and-roll"
Doctor Jones - Original Version,Aqua,"bubblegum dance,dance pop,eurodance,europop"
Wasn't It Good,Tina Arena,"australian dance,australian pop"
We Are The People,Empire of the Sun,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop"
Clarity,"Zedd, Foxes","complextro,edm,german techno,pop,pop dance,electropop,metropopolis,uk pop"
Fade Into Darkness - Vocal Radio Mix,Avicii,"edm,pop,pop dance"
I Get Around (Mono),The Beach Boys,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop"
Ritual,"Tiësto, Jonas Blue, Rita Ora","big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,pop,pop dance,tropical house,uk dance,dance pop,pop,uk pop"
Boom Clap,Lennon & Maisy,canadian country
Say You Won't Let Go,James Arthur,"pop,talent show,uk pop"
Cinema (feat. Gary Go),Benny Benassi,"edm,electro house,pop dance"
Animal,Conor Maynard,"post-teen pop,uk pop,viral pop"
Another Saturday Night,Sam Cooke,"classic soul,soul,vocal jazz"
Stay High - Habits Remix,"Tove Lo, Hippie Sabotage","metropopolis,pop,swedish electropop,swedish pop,swedish synthpop,edm,electronic trap"
Ebony Eyes,Bob Welch,"soft rock,yacht rock"
Blame It on the Boogie,The Jacksons,"disco,motown"
It Keeps Right On A-Hurtin',Johnny Tillotson,"doo-wop,merseybeat,nashville sound,rock-and-roll"
22,Taylor Swift,pop
How Am I Supposed to Live Without You,Michael Bolton,soft rock
Lazy Sunday (Mono Version) (2018 Remaster),Small Faces,"british blues,british invasion,protopunk"
Perfect,Fairground Attraction,new wave pop
Born Slippy (Nuxx) - Radio Edit,Underworld,"big beat,electronica"
Burnin' for You,Blue Öyster Cult,"album rock,classic rock,glam metal,hard rock,progressive rock,rock"
Rave On,"Buddy Holly, The Crickets","classic rock,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter,doo-wop,rock-and-roll,rockabilly"
Rabbit Heart (Raise It Up),Florence + The Machine,"baroque pop,modern rock,uk alternative pop"
Play Hard (feat. Ne-Yo & Akon) - New Edit,"David Guetta, Akon, Ne-Yo","big room,dance pop,edm,pop,pop dance,dance pop,dance pop,pop,r&b,urban contemporary"
You (with Marshmello & Vance Joy),"benny blanco, Marshmello, Vance Joy","pop,brostep,edm,pop,progressive electro house,folk-pop,modern rock"
747,Lady A,"contemporary country,country,country dawn,country pop,country road"
Don't Wanna Let You Go - Radio Edit,"Five, Stargate","boy band,norwegian pop"
Gimme More,Britney Spears,"dance pop,pop"
Slow Grenade,"Ellie Goulding, Lauv","indietronica,metropopolis,pop,uk pop,pop"
Especially for You (duet with Jason Donovan),"Kylie Minogue, Jason Donovan","australian dance,australian pop,dance pop,eurodance,new wave pop,australian dance,australian pop,new wave pop"
See See Rider,Eric Burdon & the Animals,"british blues,british invasion,classic rock,folk rock"
Let Me Blow Ya Mind,"Eve, Gwen Stefani","contemporary r&b,dance pop,hip pop,philly rap,r&b,urban contemporary,dance pop,pop"
Come to This,Natalie Taylor,
Payphone,"Maroon 5, Wiz Khalifa","pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap"
Black Magic,Little Mix,"girl group,pop,talent show,uk pop"
The Crunch,The Rah Band,brit funk
US Forces - Remastered Version,Midnight Oil,australian rock
Don't Start Now,Dua Lipa,"dance pop,pop,uk pop"
In the Ghetto,Elvis Presley,"rock-and-roll,rockabilly"
Harlem Shake,Baauer,"edm,electro house,electronic trap"
Fast Car,"Jonas Blue, Dakota","pop,pop dance,tropical house,uk dance"
I'm Your Little Boy,Heintje,volksmusik
The Pretender,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Come to Me (feat. Nicole Scherzinger),"Diddy, Nicole Scherzinger","dance pop,east coast hip hop,hip hop,hip pop,pop rap,rap,dance pop,pop"
Harlem,New Politics,"modern alternative rock,modern rock,stomp pop"
What We Talkin' About,"JAY-Z, Luke Steele","east coast hip hop,gangster rap,hip hop,pop rap,rap"
It Never Rains in Southern California,Albert Hammond,"classic uk pop,rock of gibraltar"
Sexual Healing,Marvin Gaye,"classic soul,motown,neo soul,northern soul,quiet storm,soul"
Don't Know Much (with Aaron Neville),"Linda Ronstadt, Aaron Neville","country rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock"
Run Alone,360,australian hip hop
The Wire,HAIM,"indietronica,metropopolis"
Car Wash - Long Version,Rose Royce,"classic soul,disco,funk,motown,post-disco,quiet storm,soul"
Roll On,The Living End,"australian alternative rock,australian rock,australian ska"
Moral of the Story,Ashe,alt z
Blank Space,Taylor Swift,pop
Be Mine,Ofenbach,pop dance
A-Punk,Vampire Weekend,"baroque pop,chamber pop,garage rock,indie rock,indietronica,modern rock,stomp and holler"
Funhouse,P!nk,"dance pop,pop"
Lovin' Each Day,Ronan Keating,europop
Old Rivers,"Walter Brennan, The Johnny Mann Singers",traditional country
Higher Love,Steve Winwood,"album rock,classic rock,folk rock,heartland rock,mellow gold,new wave pop,singer-songwriter,soft rock"
This Town,Niall Horan,pop
Miss You - Remastered,The Rolling Stones,"album rock,british invasion,classic rock,rock"
Miss Right,Ne-Yo,"dance pop,pop,r&b,urban contemporary"
Don't Let Go (Love),En Vogue,"contemporary r&b,girl group,hip pop,new jack swing,r&b,urban contemporary"
Forever (feat. Post Malone & Clever),"Justin Bieber, Post Malone, Clever","canadian pop,pop,dfw rap,melodic rap,pop,rap,alabama rap"
Shandi,KISS,"glam rock,hard rock,rock"
Midnight Midnight,The Potbelleez,"aussietronica,australian dance,australian house,australian pop"
You're So Vain,Carly Simon,"classic rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock"
I'd Lie For You (And That's The Truth),Meat Loaf,album rock
Angel - 2002 Remaster,Cliff Richard,"adult standards,rock-and-roll"
Shape of My Heart,Backstreet Boys,"boy band,dance pop,pop"
Bum Like You,Robyn,"dance pop,electropop,neo-synthpop,scandipop,swedish electropop,swedish pop"
Counting Down the Days,Natalie Imbruglia,"dance pop,europop,lilith,new wave pop,pop rock"
Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
No You Girls,Franz Ferdinand,"alternative rock,dance rock,indie rock,modern rock,rock,scottish rock"
Stitches,Shawn Mendes,"canadian pop,pop,viral pop"
Don't Miss You,Amy Pearson,
Automatic (Album Version),The Pointer Sisters,"disco,girl group,hi-nrg,motown,new wave pop,soft rock"
The Safety Dance,Men Without Hats,"classic canadian rock,new romantic,new wave pop,synthpop"
Everything I'm Not,The Veronicas,"australian pop,candy pop,dance pop,girl group,post-teen pop"
No Air (feat. Chris Brown),"Jordin Sparks, Chris Brown","dance pop,pop,post-teen pop,r&b,rap"
Chase That Feeling,Hilltop Hoods,australian hip hop
Forever,Walter Meego,
Saturday Night (feat. Ludacris),"Jessica Mauboy, Ludacris","australian indigenous,australian pop,australian talent show,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap"
Stomp! - Single Version,The Brothers Johnson,"disco,funk,jazz funk,p funk,post-disco,quiet storm,soul"
It Girl,Jason Derulo,"dance pop,pop"
Girls Can Get It,Dr. Hook,"country rock,mellow gold,soft rock"
Time of Our Lives - Radio Edit,"Pitbull, Ne-Yo","dance pop,miami hip hop,pop,dance pop,pop,r&b,urban contemporary"
Show Me the Way,Brian Cadd,"australian americana,australian rock"
Instruction,"Jax Jones, Demi Lovato, Stefflon Don","dance pop,edm,house,pop dance,uk dance,uk pop,pop,post-teen pop,dancehall,dancehall queen,uk dancehall,uk hip hop"
Victory,Bond,pop violin
I Like It Like That (feat. New Boyz),"Hot Chelle Rae, New Boyz","dance rock,neon pop punk,post-teen pop,pop rap"
vampire,Olivia Rodrigo,pop
Don't Kill the Magic,MAGIC!,"pop,reggae fusion"
Fools Rush In,Ricky Nelson,"adult standards,doo-wop,rock-and-roll,rockabilly"
Come And See Her,The Easybeats,"australian rock,british blues,freakbeat,protopunk,psychedelic rock"
rockstar,"Post Malone, 21 Savage","dfw rap,melodic rap,pop,rap,atl hip hop,hip hop,rap,trap"
The Fear,Lily Allen,"dance pop,electropop"
Old Sid,Daryl Braithwaite,"australian pop,australian rock"
Put A Little Love In Your Heart,Jackie DeShannon,brill building pop
Words,Missing Persons,"new romantic,new wave,new wave pop,synthpop"
I Did What I Did For Maria,Tony Christie,classic uk pop
Last Train to Trancentral (Live from the Lost Continent) [Us Version],The KLF,"acid house,ambient house,big beat,hip house"
Maniac,Conan Gray,"bedroom pop,pop,pov: indie"
Bohemian Rhapsody - Remastered 2011,Queen,"classic rock,glam rock,rock"
TiK ToK,Kesha,"dance pop,pop"
Rock Me Amadeus,Falco,"austropop,neue deutsche welle"
Love & Pride,King,"coventry indie,deep new wave"
Flashback,Calvin Harris,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
Too Funky - Single Edit,George Michael,new wave pop
Turn Up the Music,Chris Brown,"r&b,rap"
Bye Bye Bye,*NSYNC,"boy band,dance pop,pop"
Close To You,Maxi Priest,"lovers rock,reggae,reggae fusion"
Faded,Kate DeAraugo,"australian dance,australian pop,australian talent show"
Abracadabra,Steve Miller Band,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
Piano Man,Billy Joel,"album rock,classic rock,heartland rock,mellow gold,piano rock,rock,singer-songwriter,soft rock"
Wait,Gyan,
Cavalry - 2017 Remastered,Daryl Braithwaite,"australian pop,australian rock"
Go Now!,The Moody Blues,"album rock,art rock,british invasion,classic rock,country rock,flute rock,folk rock,heartland rock,mellow gold,progressive rock,rock,singer-songwriter,soft rock,symphonic rock"
The Unforgiven,Metallica,"hard rock,metal,old school thrash,rock,thrash metal"
I Cry,Flo Rida,"dance pop,miami hip hop,pop,pop rap"
Warrior,Havana Brown,"australian dance,australian pop"
Back from the Edge,James Arthur,"pop,talent show,uk pop"
What a Fool Believes,The Doobie Brothers,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock"
Skinny Love,Birdy,"neo mellow,uk pop"
She Said,Plan B,
Rover (feat. DTG),"S1mba, DTG","afroswing,afroswing"
Stone Cold,Jimmy Barnes,australian rock
Riptide,Vance Joy,"folk-pop,modern rock"
Get Down On It,Kool & The Gang,"disco,funk,motown,soul"
Slow Hands,Niall Horan,pop
Ring Of Fire,Eric Burdon & the Animals,"british blues,british invasion,classic rock,folk rock"
Mr. Saxobeat - Radio Edit,Alexandra Stan,romanian pop
Groove Is in the Heart,Deee-Lite,hip house
Don't Go Breaking My Heart,Backstreet Boys,"boy band,dance pop,pop"
Send My Love (To Your New Lover),Adele,"british soul,pop,pop soul,uk pop"
Clocks,Coldplay,"permanent wave,pop"
Live It Up - Remastered,Mental As Anything,australian rock
My Deepest Darkest Friend,The Heartland Collective,
Oh Yeah,Yello,"new romantic,proto-techno,synthpop,zolo"
How Am I Supposed to Live without You,Laura Branigan,"new romantic,new wave pop,soft rock,synthpop"
Super Love,Dami Im,"australian pop,australian talent show,talent show"
Life,Sherbet,australian rock
Love Today,MIKA,pop rock
She Looks So Perfect,5 Seconds of Summer,"boy band,pop"
Falling,Harry Styles,pop
What You're On,Rogue Traders,"australian dance,australian pop,australian rock,dance rock"
Lost It All,Birdy,"neo mellow,uk pop"
I Eat Cannibals - Pt. 1,Toto Coelo,
Welcome to Paradise,Green Day,"modern rock,permanent wave,punk,rock"
Invisible Touch - Remastered 2007,Genesis,"album rock,art rock,classic rock,hard rock,mellow gold,progressive rock,rock,soft rock,symphonic rock"
Rude,MAGIC!,"pop,reggae fusion"
Low Blows,Meg Mac,australian indie
Better Days,Pete Murray,"australian pop,australian rock"
Remember the Time,Michael Jackson,"r&b,soul"
Monkey Wrench,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
I Am Woman,Helen Reddy,"adult standards,bubblegum pop,mellow gold,soft rock"
lovely (with Khalid),"Billie Eilish, Khalid","art pop,electropop,pop,pop,pop r&b"
Bad Company - 2015 Remaster,Bad Company,"album rock,classic rock,country rock,glam metal,hard rock,mellow gold,rock,singer-songwriter,soft rock,southern rock"
Dub Be Good To Me,Beats International,hip house
The Hippy Hippy Shake,The Swinging Blue Jeans,"british invasion,merseybeat"
Chiquitita,ABBA,"europop,swedish pop"
Karma Chameleon - Remastered 2002,Culture Club,"new romantic,new wave,new wave pop,soft rock,synthpop"
Horny - Horny '98 Radio Edit,Mousse T. Vs Hot 'n' Juicy,
The Warrior (feat. Patty Smyth),"Scandal, Patty Smyth",new wave pop
Telephone Booth,Ian Moss,"australian indigenous,australian rock"
There You Go,P!nk,"dance pop,pop"
I Could Be so Good for You,Dennis Waterman,
I Won't Kneel,Groove Armada,"big beat,electronica,nu skool breaks,trip hop"
For Your Entertainment,Adam Lambert,"dance pop,idol,pop,post-teen pop"
I’m Ready (with Demi Lovato),"Sam Smith, Demi Lovato","pop,uk pop,pop,post-teen pop"
She's No You,Jesse McCartney,"dance pop,pop,post-teen pop"
We Don't Talk Anymore - 2001 Remaster,Cliff Richard,"adult standards,rock-and-roll"
Galvanize - Edit,The Chemical Brothers,"alternative dance,big beat,breakbeat,electronica,rave,trip hop"
I Take It Back,Sandy Posey,nashville sound
More Money for You and Me - Medley,The Four Preps,"doo-wop,vocal harmony group"
I'll Never Break Your Heart,Backstreet Boys,"boy band,dance pop,pop"
Don't Let The Rain Come Down (Crooked Little Man),The Serendipity Singers,american folk revival
There's a Kind of Hush (All Over the World),Herman's Hermits,"british invasion,classic rock,folk rock,rock-and-roll,singer-songwriter"
World,Bee Gees,"disco,mellow gold,soft rock"
I Say A Little Prayer,Diana King,reggae fusion
Last Friday Night (T.G.I.F.),Katy Perry,pop
I'm Your Baby Tonight,Whitney Houston,dance pop
Rise,Katy Perry,pop
Misty - 1975 #3Country; #14Pop Billboard chart hit,Ray Stevens,"classic country pop,novelty"
Hell No!,Ricki-Lee,"australian dance,australian pop,australian talent show"
Pipeline,The Chantays,surf music
C'MON (feat. Travis Barker),"Amy Shark, Travis Barker","australian pop,rap rock"
I Want You Back,The Jackson 5,"motown,soul"
No Air (feat. Chris Brown),"Jordin Sparks, Chris Brown","dance pop,pop,post-teen pop,r&b,rap"
Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
Viva Las Vegas,Elvis Presley,"rock-and-roll,rockabilly"
Rome Wasn't Built in a Day,Morcheeba,"downtempo,electronica,trip hop"
Night Fever,Bee Gees,"disco,mellow gold,soft rock"
Watermelon Sugar,Harry Styles,pop
Bad At Love,Halsey,"electropop,etherpop,indie poptimism,pop"
In Love Again,Rogue Traders,"australian dance,australian pop,australian rock,dance rock"
Escapade,Janet Jackson,"dance pop,r&b,urban contemporary"
Lights On (feat. Ms Dynamite) - Single Mix,"Katy B, Ms. Dynamite","hip house,uk funky,uk garage,uk funky,uk garage"
Love Never Felt So Good,"Michael Jackson, Justin Timberlake","r&b,soul,dance pop,pop"
See My Baby Jive - 2006 Remaster,Wizzard,glam rock
Be Together (feat. Wild Belle),"Major Lazer, Wild Belle","dance pop,edm,electro house,moombahton,pop,pop dance,shimmer pop"
Teardrops - Single Version,Womack & Womack,disco
Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse","pop soul,british soul,neo soul"
Creepin' Up Slowly,Taxiride,"australian pop,australian rock"
Because Of You,Ne-Yo,"dance pop,pop,r&b,urban contemporary"
Around the World (La La La La La) - Radio Version,"A Touch Of Class, Pete Konemann",europop
I Write Sins Not Tragedies,Panic! At The Disco,pop
River (feat. Ed Sheeran),"Eminem, Ed Sheeran","detroit hip hop,hip hop,rap,pop,singer-songwriter pop,uk pop"
I Don't Want A Lover,Texas,"new romantic,new wave pop,scottish rock"
Frankie,Sister Sledge,"disco,funk,philly soul,quiet storm,soul"
Get Stupid,Aston Merrygold ,talent show
I've Got to Have You - 2015 Remaster,Carly Simon,"classic rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock"
Lonely No More,Rob Thomas,"neo mellow,pop rock,post-grunge"
Can't Get Used to Losing You,Andy Williams,"adult standards,easy listening"
She,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Mockingbird,Rob Thomas,"neo mellow,pop rock,post-grunge"
Hung Up,Hot Chelle Rae,"dance rock,neon pop punk,post-teen pop"
Love My Life,Robbie Williams,"dance rock,europop"
I Was Made For Loving You,"Tori Kelly, Ed Sheeran","pop,post-teen pop,pop,singer-songwriter pop,uk pop"
7 rings,Ariana Grande,pop
Party People,"Nelly, Fergie","dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary,dance pop,pop"
Try Again,Aaliyah,"contemporary r&b,dance pop,hip pop,r&b,urban contemporary"
Nervous,Shawn Mendes,"canadian pop,pop,viral pop"
Hurt,Christina Aguilera,"dance pop,pop"
Bad Influence,P!nk,"dance pop,pop"
When the Lights Go Out - Radio Edit,"Five, Cutfather & Joe",boy band
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],"Dua Lipa, Madonna, Missy Elliott, The Blessed Madonna","dance pop,pop,uk pop,dance pop,pop,dance pop,hip hop,hip pop,neo soul,pop rap,r&b,rap,urban contemporary,virginia hip hop,edm"
Better the Devil You Know,Kylie Minogue,"australian dance,australian pop,dance pop,eurodance,new wave pop"
Hey Porsche,Nelly,"dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary"
Why Does It Always Rain on Me?,Travis,britpop
Sheila,Tommy Roe,"bubblegum pop,classic garage rock,merseybeat,rock-and-roll"
Two Faces Have I,Lou Christie,"bubblegum pop,classic garage rock,doo-wop,merseybeat"
Chained To The Wheel - 2007 Remastered,The Black Sorrows,australian rock
Getting Away With It (All Messed Up) - Vandalism Radio Edit,"Sean Quinn, Gus Cullen",
Embrace,PNAU,"alternative dance,aussietronica,australian dance,australian electropop"
Make It To Me,Sam Smith,"pop,uk pop"
How Could You,Mario,"dance pop,r&b,southern hip hop,urban contemporary"
Well Hello,Yellowstone And Voice,beatlesque
When You Tell Me That You Love Me (with Diana Ross),"Westlife, Diana Ross","boy band,adult standards,disco,motown,quiet storm,soft rock,soul"
I Got You,Bebe Rexha,"dance pop,pop"
Back Off Boogaloo,Ringo Starr,"beatlesque,classic rock,rock drums"
