Song Name,Artist,Genre
Sweat - Remix,"Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer","g funk,gangster rap,hip hop,pop rap,rap,west coast rap,big room,dance pop,edm,pop,pop dance"
True - Single Edit,Spandau Ballet,"new romantic,new wave,new wave pop,sophisti-pop,synthpop"
One,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Stay,"Zedd, Alessia Cara","complextro,edm,german techno,pop,pop dance,canadian contemporary r&b,canadian pop,pop"
Oh My Goodness,Olly Murs,"dance pop,pop,talent show"
Titanium (feat. Sia),"David Guetta, Sia","big room,dance pop,edm,pop,pop dance,australian dance,australian pop,pop"
Dream Girl,David Jones,
View From a Bridge,Kim Wilde,"new romantic,new wave,new wave pop"
Wrapped Up (feat. Travie McCoy),"Olly Murs, Travie McCoy","dance pop,pop,talent show,pop rap"
you broke me first,Tate McRae,"alt z,pop"
Like It Like That,Guy Sebastian,"australian pop,australian talent show"
No Pressure,"Justin Bieber, Big Sean","canadian pop,pop,detroit hip hop,hip hop,pop rap,r&b,rap,trap"
I Wanna Be With You,Mandy Moore,"dance pop,neo mellow,post-teen pop"
I'm In Control,"AlunaGeorge, Popcaan","electropop,house,uk dance,dancehall,jamaican hip hop,reggae fusion,traphall"
Can't Remember to Forget You,"Shakira, Rihanna","colombian pop,dance pop,latin pop,pop,barbadian pop,pop,urban contemporary"
"It Ain't Me, Babe (with June Carter Cash)","Johnny Cash, June Carter Cash","arkansas country,outlaw country,rock,country"
Forever Young,Youth Group,
It's Too Late,Carole King,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock"
Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars","pop rap,dance pop,pop"
Star Wars Theme/Cantina Band,Meco,
Jump In My Car,Ted Mulry Gang,australian rock
Safe And Sound,Capital Cities,"metropopolis,modern rock"
Witchcraft,Pendulum,"australian dance,dancefloor dnb,drum and bass"
'74-'75,The Connells,jangle pop
Two Princes,Spin Doctors,"alternative rock,pop rock,post-grunge"
Sorry,Toni Braxton,"contemporary r&b,dance pop,r&b,urban contemporary"
I Begin to Wonder,Dannii Minogue,"australian dance,australian pop,europop,talent show"
iYiYi (feat. Flo Rida),"Cody Simpson, Flo Rida","australian pop,pop,post-teen pop,dance pop,miami hip hop,pop,pop rap"
This Is Tomorrow,Bryan Ferry,"glam rock,melancholia,new romantic,new wave,new wave pop,solo wave,sophisti-pop"
Impossible,James Arthur,"pop,talent show,uk pop"
